timestamp,lat,lon,alt,heading,qx,qy,qz,qw,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,x,y,z,vx,vy,vz,ax,ay,az,gx,gy,gz,mx,my,mz
1763968491.1193178,0.0,0.0,33.62,154.94,-0.06275424361228943,0.21513469517230988,0.9744956493377686,-0.01171149779111147,-3.091442584991455,-0.11754439026117325,2.7043843269348145,-6.585847586393356e-05,-0.0011946570593863726,0.000604347325861454,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6276256,10.2577559,0.08726646259971647,0.03490658503988659,-0.06981317007977318,-717.0,318.0,-399.0
1763968491.152761,0.0,0.0,33.62,154.94,-0.06274700909852982,0.21513128280639648,0.9744970202445984,-0.011703018099069595,-3.091442584991455,-0.11754439026117325,2.7043843269348145,-6.585847586393356e-05,-0.0011946570593863726,0.000604347325861454,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6276256,10.2577559,0.08726646259971647,0.03490658503988659,-0.06981317007977318,-717.0,318.0,-399.0
1763968491.1861663,0.0,0.0,33.62,154.94,-0.06274700909852982,0.21513128280639648,0.9744970202445984,-0.011703018099069595,-3.091442584991455,-0.11754439026117325,2.7043843269348145,-6.585847586393356e-05,-0.0011946570593863726,0.000604347325861454,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6276256,10.2577559,0.08726646259971647,0.03490658503988659,-0.06981317007977318,-717.0,318.0,-399.0
1763968491.219592,0.0,0.0,33.62,154.94,-0.06274700909852982,0.21513128280639648,0.9744970202445984,-0.011703018099069595,-3.091442584991455,-0.11754439026117325,2.7043843269348145,-6.585847586393356e-05,-0.0011946570593863726,0.000604347325861454,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6276256,10.2577559,0.08726646259971647,0.03490658503988659,-0.06981317007977318,-717.0,318.0,-399.0
1763968491.2530103,0.0,0.0,33.62,154.94,-0.06274700909852982,0.21513128280639648,0.9744970202445984,-0.011703018099069595,-3.091442584991455,-0.11754439026117325,2.7043843269348145,-6.585847586393356e-05,-0.0011946570593863726,0.000604347325861454,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6276256,10.2577559,0.06981317007977318,0.05235987755982989,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.2867205,0.0,0.0,33.62,154.94,-0.06274700909852982,0.21513128280639648,0.9744970202445984,-0.011703018099069595,-3.0914597511291504,-0.11752966046333313,2.704373359680176,-0.0004577813670039177,-0.00020035868510603905,0.0009096891153603792,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6276256,10.2577559,0.06981317007977318,0.05235987755982989,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.3201563,0.0,0.0,33.62,154.94,-0.06273805350065231,0.21513749659061432,0.9744963049888611,-0.011695870198309422,-3.0914597511291504,-0.11752966046333313,2.704373359680176,-0.0004577813670039177,-0.00020035868510603905,0.0009096891153603792,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6276256,10.2577559,0.06981317007977318,0.05235987755982989,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.3535802,0.0,0.0,33.62,154.94,-0.06273805350065231,0.21513749659061432,0.9744963049888611,-0.011695870198309422,-3.0914597511291504,-0.11752966046333313,2.704373359680176,-0.0004577813670039177,-0.00020035868510603905,0.0009096891153603792,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6276256,10.2577559,0.06981317007977318,0.05235987755982989,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.3881774,0.0,0.0,33.62,154.94,-0.06273805350065231,0.21513749659061432,0.9744963049888611,-0.011695870198309422,-3.0914597511291504,-0.11752966046333313,2.704373359680176,-0.0004577813670039177,-0.00020035868510603905,0.0009096891153603792,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6276256,10.2577559,0.06981317007977318,0.05235987755982989,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.4222674,0.0,0.0,33.62,154.94,-0.06273805350065231,0.21513749659061432,0.9744963049888611,-0.011695870198309422,-3.0914597511291504,-0.11752966046333313,2.704373359680176,-0.0004577813670039177,-0.00020035868510603905,0.0009096891153603792,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.24794925,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.4581537,0.0,0.0,33.62,154.94,-0.06273805350065231,0.21513749659061432,0.9744963049888611,-0.011695870198309422,-3.0914666652679443,-0.11754697561264038,2.704355239868164,-0.00014072051271796227,0.0004071090370416641,0.00029124761931598186,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.24794925,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.49157,0.0,0.0,33.62,154.94,-0.0627458468079567,0.21514613926410675,0.9744939208030701,-0.011690057814121246,-3.0914666652679443,-0.11754697561264038,2.704355239868164,-0.00014072051271796227,0.0004071090370416641,0.00029124761931598186,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.24794925,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.5254948,0.0,0.0,33.58,154.94,-0.0627458468079567,0.21514613926410675,0.9744939208030701,-0.011690057814121246,-3.0914666652679443,-0.11754697561264038,2.704355239868164,-0.00014072051271796227,0.0004071090370416641,0.00029124761931598186,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.24794925,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.5589132,0.0,0.0,33.58,154.94,-0.0627458468079567,0.21514613926410675,0.9744939208030701,-0.011690057814121246,-3.0914666652679443,-0.11754697561264038,2.704355239868164,-0.00014072051271796227,0.0004071090370416641,0.00029124761931598186,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.24794925,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-717.0,318.0,-399.0
1763968491.5923343,0.0,0.0,33.58,154.94,-0.0627458468079567,0.21514613926410675,0.9744939208030701,-0.011690057814121246,-3.0914666652679443,-0.11754697561264038,2.704355239868164,-0.00014072051271796227,0.0004071090370416641,0.00029124761931598186,0.0,0.0,0.0,0.0,0.0,0.0,-0.5491724,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-718.0,322.0,-400.0
1763968491.625988,0.0,0.0,33.58,154.94,-0.0627458468079567,0.21514613926410675,0.9744939208030701,-0.011690057814121246,-3.0914652347564697,-0.11755388230085373,2.7043488025665283,-0.00018531177192926407,-0.00029070163145661354,-0.00035302015021443367,0.0,0.0,0.0,0.0,0.0,0.0,-0.5491724,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-718.0,322.0,-400.0
1763968491.6594064,0.0,0.0,33.58,154.94,-0.06274939328432083,0.2151491492986679,0.9744929671287537,-0.011689816601574421,-3.0914652347564697,-0.11755388230085373,2.7043488025665283,-0.00018531177192926407,-0.00029070163145661354,-0.00035302015021443367,0.0,0.0,0.0,0.0,0.0,0.0,-0.5491724,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-718.0,322.0,-400.0
1763968491.6929755,0.0,0.0,33.58,154.94,-0.06274939328432083,0.2151491492986679,0.9744929671287537,-0.011689816601574421,-3.0914652347564697,-0.11755388230085373,2.7043488025665283,-0.00018531177192926407,-0.00029070163145661354,-0.00035302015021443367,0.0,0.0,0.0,0.0,0.0,0.0,-0.5491724,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-718.0,322.0,-400.0
1763968491.726658,0.0,0.0,33.58,154.94,-0.06274939328432083,0.2151491492986679,0.9744929671287537,-0.011689816601574421,-3.0914652347564697,-0.11755388230085373,2.7043488025665283,-0.00018531177192926407,-0.00029070163145661354,-0.00035302015021443367,0.0,0.0,0.0,0.0,0.0,0.0,-0.5491724,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.03490658503988659,-718.0,322.0,-400.0
1763968491.7629545,0.0,0.0,33.58,154.94,-0.06274939328432083,0.2151491492986679,0.9744929671287537,-0.011689816601574421,-3.0914652347564697,-0.11755388230085373,2.7043488025665283,-0.00018531177192926407,-0.00029070163145661354,-0.00035302015021443367,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.05235987755982989,-718.0,322.0,-400.0
1763968491.7963943,0.0,0.0,33.58,154.94,-0.06274939328432083,0.2151491492986679,0.9744929671287537,-0.011689816601574421,-3.091451644897461,-0.11755533516407013,2.7043392658233643,0.0004866281524300575,0.0005436134524643421,-0.0014733097050338984,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.05235987755982989,-718.0,322.0,-400.0
1763968491.83427,0.0,0.0,33.58,154.94,-0.06275161355733871,0.21515335142612457,0.9744918942451477,-0.011695941910147667,-3.091451644897461,-0.11755533516407013,2.7043392658233643,0.0004866281524300575,0.0005436134524643421,-0.0014733097050338984,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.05235987755982989,-718.0,322.0,-400.0
1763968491.8676906,0.0,0.0,33.58,154.94,-0.06275161355733871,0.21515335142612457,0.9744918942451477,-0.011695941910147667,-3.091451644897461,-0.11755533516407013,2.7043392658233643,0.0004866281524300575,0.0005436134524643421,-0.0014733097050338984,0.0,0.0,0.0,0.0,0.0,0.0,-0.55897905,0.6080123,10.2577559,0.06981317007977318,0.06981317007977318,-0.05235987755982989,-718.0,322.0,-400.0
