timestamp,lat,lon,alt,heading,qx,qy,qz,qw,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,x,y,z,vx,vy,vz,ax,ay,az,gx,gy,gz,mx,my,mz,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
1763969188.1117823,0.0,0.0,31.94,154.9,-0.06373129040002823,0.21545752882957458,0.974355936050415,-0.01211597491055727,-3.09016752243042,-0.11926472187042236,2.7035796642303467,0.0005829776637256145,-0.0006275069899857044,-0.001279051648452878,0.0,0.0,0.0,0.0,0.0,0.0,-0.59820565,0.63743225,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.05235987755982989,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.1452117,0.0,0.0,31.94,154.9,-0.0637265145778656,0.2154506891965866,0.9743579030036926,-0.012111318297684193,-3.09016752243042,-0.11926472187042236,2.7035796642303467,0.0005829776637256145,-0.0006275069899857044,-0.001279051648452878,0.0,0.0,0.0,0.0,0.0,0.0,-0.59820565,0.63743225,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.05235987755982989,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.178607,0.0,0.0,31.94,154.9,-0.0637265145778656,0.2154506891965866,0.9743579030036926,-0.012111318297684193,-3.09016752243042,-0.11926472187042236,2.7035796642303467,0.0005829776637256145,-0.0006275069899857044,-0.001279051648452878,0.0,0.0,0.0,0.0,0.0,0.0,-0.59820565,0.63743225,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.05235987755982989,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.2120078,0.0,0.0,31.94,154.9,-0.0637265145778656,0.2154506891965866,0.9743579030036926,-0.012111318297684193,-3.09016752243042,-0.11926472187042236,2.7035796642303467,0.0005829776637256145,-0.0006275069899857044,-0.001279051648452878,0.0,0.0,0.0,0.0,0.0,0.0,-0.59820565,0.63743225,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.05235987755982989,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.2454014,0.0,0.0,31.94,154.9,-0.0637265145778656,0.2154506891965866,0.9743579030036926,-0.012111318297684193,-3.09016752243042,-0.11926472187042236,2.7035796642303467,0.0005829776637256145,-0.0006275069899857044,-0.001279051648452878,0.0,0.0,0.0,0.0,0.0,0.0,-0.59820565,0.63743225,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.05235987755982989,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.2787607,0.0,0.0,31.94,154.9,-0.0637265145778656,0.2154506891965866,0.9743579030036926,-0.012111318297684193,-3.09016752243042,-0.11926472187042236,2.7035796642303467,0.0005829776637256145,-0.0006275069899857044,-0.001279051648452878,0.0,0.0,0.0,0.0,0.0,0.0,-0.588399,0.6472389000000001,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.3121617,0.0,0.0,31.94,154.9,-0.0637265145778656,0.2154506891965866,0.9743579030036926,-0.012111318297684193,-3.090183973312378,-0.11925408244132996,2.703606605529785,0.0004470548592507839,0.0002959026023745537,-0.00138943106867373,0.0,0.0,0.0,0.0,0.0,0.0,-0.588399,0.6472389000000001,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.3455586,0.0,0.0,31.94,154.9,-0.06371942162513733,0.21543832123279572,0.9743611216545105,-0.012105382978916168,-3.090183973312378,-0.11925408244132996,2.703606605529785,0.0004470548592507839,0.0002959026023745537,-0.00138943106867373,0.0,0.0,0.0,0.0,0.0,0.0,-0.588399,0.6472389000000001,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.378951,0.0,0.0,31.94,154.9,-0.06371942162513733,0.21543832123279572,0.9743611216545105,-0.012105382978916168,-3.090183973312378,-0.11925408244132996,2.703606605529785,0.0004470548592507839,0.0002959026023745537,-0.00138943106867373,0.0,0.0,0.0,0.0,0.0,0.0,-0.588399,0.6472389000000001,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.412347,0.0,0.0,31.94,154.9,-0.06371942162513733,0.21543832123279572,0.9743611216545105,-0.012105382978916168,-3.090183973312378,-0.11925408244132996,2.703606605529785,0.0004470548592507839,0.0002959026023745537,-0.00138943106867373,0.0,0.0,0.0,0.0,0.0,0.0,-0.588399,0.6472389000000001,10.267562550000001,0.10471975511965978,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
