time,channel_1,channel_2,channel_3,channel_4
0.0,6.377842641497124e-05,0.0007250982391604273,-8.856844856680255e-05,-0.0002192207015719494
0.02,0.0963198109247128,0.18117647961303857,-0.1977050105562333,-0.1053290917125208
0.04,0.17994694099024244,0.3504360862491794,-0.3836034810783713,-0.21323424992579168
0.06,0.2500330120867958,0.5022511605789753,-0.5498333616891593,-0.31956686262769596
0.08,0.3064878133651785,0.6314162036582419,-0.689695078557344,-0.41981432049882184
0.1,0.34997043961531527,0.7339791809902045,-0.7980462493072428,-0.5095158322961059
0.12,0.3817763536733247,0.8073743836828555,-0.8715087804285151,-0.584462650646094
0.14,0.40369188532408773,0.8504771046249434,-0.9085678762385119,-0.6408928945944609
0.16,0.41782557833091355,0.8635797827898971,-0.9095607349146988,-0.6756720189589592
0.18,0.4264269408016278,0.8482936931424666,-0.8765595131278274,-0.6864504742989879
0.2,0.43170370617568143,0.807384363429489,-0.813159512481876,-0.6717909862245357
0.22,0.43564864688701765,0.7445524520937595,-0.7241890853430969,-0.6312591226389972
0.24,0.4398863073558759,0.6641746275858573,-0.6153621392068847,-0.5654723597387902
0.26,0.44554877698667295,0.5710208975721235,-0.4928970800938017,-0.47610463543991866
0.28,0.4531878771920671,0.4699657495414341,-0.36312741280653776,-0.3658453144412069
0.3,0.4627289855676163,0.36571034335586333,-0.2321289485514717,-0.23831349671682414
0.32,0.4734692830670932,0.26253186306326604,-0.1053867037285226,-0.09793059131639702
0.34,0.4841206194065171,0.16407407020148182,0.01247874503674172,0.050244039467637724
0.36,0.4928945891204186,0.07319023789987802,0.11791021631454457,0.20070786946621588
0.38,0.4976249375452609,-0.008153836201264447,0.20852838679537897,0.34773251373902625
0.4,0.49592020752779004,-0.07891292567309009,0.2831579186839572,0.4855945449234436
0.42,0.4853377149008602,-0.13893182065246448,0.3417674986883055,0.6088101157084499
0.44,0.4635686044054075,-0.18885534120892625,0.3853318525702335,0.7123634019225615
0.46,0.42862296269774985,-0.22998680045717218,0.4156289611236256,0.7919190361693415
0.48,0.37900379654718935,-0.2641059307733225,0.4349898753467892,0.8440092895000203
0.5,0.3138591352641258,-0.2932597015833552,0.44602144346655914,0.8661877553034197
0.52,0.2331025667665857,-0.31954101463056483,0.4513237383919224,0.8571426541358323
0.54,0.13749411439587644,-0.34487087302748126,0.4532239256213315,0.816764552788228
0.56,0.02867542509153337,-0.3707992512882353,0.4535467546832404,0.7461652036553843
0.58,-0.09084433798196637,-0.398338571128567,0.45343890803804926,0.6476462787230561
0.6,-0.21775285038870681,-0.4278414953400308,0.4532603083210898,0.5246189062954553
0.62,-0.34804743353254,-0.4589318247467275,0.45255045434912794,0.38147702477431894
0.64,-0.4771918242434255,-0.4904938003836684,0.45007227411169226,0.22342955409246884
0.66,-0.6003099202169117,-0.5207212872264844,0.4439302310333978,0.05629816451328473
0.68,-0.7124073499926603,-0.5472243805024569,0.43175389130189845,-0.11371108397039516
0.7000000000000001,-0.808610002331015,-0.5671871712994287,0.4109332334533589,-0.2802528164913086
0.72,-0.8844074828992776,-0.57756696814771,0.3788879954594787,-0.4370939776559037
0.74,-0.9358889143690728,-0.5753224077579555,0.3333505859719987,-0.5783615663951552
0.76,-0.9599585961128566,-0.5576557798116974,0.2726407314280617,-0.6987761574742066
0.78,-0.9545197948040183,-0.5222536719827968,0.19591019208706226,-0.7938614845964317
0.8,-0.9186163164742409,-0.46750979417592703,0.10333755975195956,-0.8601213672106958
0.8200000000000001,-0.8525234503901917,-0.3927145897866743,-0.003743751330908826,-0.8951766450685239
0.84,-0.7577822822742821,-0.2981979518999836,-0.12279688558269965,-0.8978564811883714
0.86,-0.6371741306641056,-0.18541394155458882,-0.2501195939798856,-0.8682403312704939
0.88,-0.49463482819623333,-0.05695970892311659,-0.3809703687254217,-0.8076489713405619
0.9,-0.3351115997080401,0.08347534232617665,-0.5097779916728911,-0.7185851342657406
0.92,-0.164368227040496,0.23122995437716767,-0.6304239165782318,-0.6046264358176822
0.9400000000000001,0.01125311470324169,0.38085656188233197,-0.7365815810191442,-0.47027527959901755
0.96,0.18510265294811573,0.5263635251434341,-0.8220923649627403,-0.32077223035572694
0.98,0.3505139421805039,0.6615019656193848,-0.881354784506684,-0.1618808592689275
1.0,0.5011012092793312,0.7800821363502858,-0.9097018582961406,0.0003467721702943476
1.02,0.6310488767890822,0.8763021017124678,-0.903741544127503,0.15981406045759083
1.04,0.7353791903281236,0.9450703063911068,-0.8616367449338624,0.3106229805657493
1.06,0.8101847482714083,0.9823034668028324,-0.783304551414549,0.4473062322521734
